City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Faanui,PF,82.0,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
375,Aguimes,ES,68.0,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
376,Benjamin Constant,BR,78.8,heavy intensity rain,-4.3831,-70.0311,CASA AVALIADA
378,Durban,ZA,73.0,broken clouds,-29.8579,31.0292,Hilton Durban
380,Nagua,DO,70.54,clear sky,19.3832,-69.8474,Hotel Cambri
381,Srivardhan,IN,81.68,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
382,Yenagoa,NG,77.0,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
383,Fuerte Olimpo,PY,82.89,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
385,Pingzhuang,CN,63.43,few clouds,42.0372,119.2889,Haoke Guest House
386,Susanville,US,57.2,clear sky,40.4163,-120.65299999999999,Red Lion Inn & Suites Susanville
388,Saint-Georges,GD,80.6,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
389,Esna,EG,68.0,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
390,Sorong,ID,85.84,broken clouds,-0.8833,131.25,waigo splash hotel
391,Ponta Do Sol,PT,62.6,few clouds,32.6667,-17.1,Hotel do Campo
394,Acarau,BR,78.21,overcast clouds,-2.8856,-40.12,castelo pizzaria
395,San Cristobal,VE,80.6,few clouds,7.7669,-72.225,Posada Villaven C.A.
396,Nova Olinda Do Norte,BR,74.91,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
398,San Patricio,US,82.4,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
399,Sambava,MG,73.67,broken clouds,-14.2667,50.1667,Melrose
400,San-Pedro,CI,80.1,overcast clouds,4.7485,-6.6363,Hotel Maria
403,Saint George,US,70.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
406,Bossangoa,CF,79.18,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
407,Vao,NC,74.84,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
409,Maxixe,MZ,69.91,clear sky,-23.8597,35.3472,Oceano
412,Maroantsetra,MG,73.69,broken clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
413,Cockburn Town,TC,74.12,clear sky,21.4612,-71.1419,Osprey Beach Hotel
414,Santa Ana,US,60.8,broken clouds,33.7456,-117.8678,Santa Ana Travel Inn
415,Pocoes,BR,62.74,overcast clouds,-14.5297,-40.3653,Poções Palace Hotel
416,Hualmay,PE,67.1,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
417,Kununurra,AU,86.0,few clouds,-15.7667,128.7333,Hotel Kununurra
418,Finschhafen,PG,85.05,scattered clouds,-6.6024,147.8681,Cossam Guest House
419,Wellington,NZ,63.0,broken clouds,-41.2866,174.7756,CityLife Wellington
420,Sao Jose Da Coroa Grande,BR,76.57,moderate rain,-8.8978,-35.1478,Crôa Mares Hotel
421,Fort Abbas,PK,78.8,broken clouds,29.1925,72.8536,AsAd's House
422,Caarapo,BR,68.45,overcast clouds,-22.6342,-54.8222,Hotel Pousada Quinta do Sul
426,Impfondo,CG,70.99,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
428,Sierra Vista,US,71.6,broken clouds,31.5545,-110.3037,Gateway Studio Suites
429,Vila Franca Do Campo,PT,57.2,few clouds,37.7167,-25.4333,Pestana Bahia Praia
430,Kuching,MY,80.6,few clouds,1.55,110.3333,The Ranee Boutique Suites
431,Salinopolis,BR,78.91,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
432,Ucluelet,CA,59.0,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
433,Mae Hong Son,TH,78.8,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
434,Kelowna,CA,66.2,clear sky,49.8831,-119.4857,Delta Hotels by Marriott Grand Okanagan Resort
436,Ginda,IN,64.63,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
437,Jumla,NP,58.14,clear sky,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
438,Kindu,CD,67.64,overcast clouds,-2.95,25.95,Résidence Okanda
440,Los Llanos De Aridane,ES,66.2,few clouds,28.6585,-17.9182,Valle Aridane
441,Bend,US,53.6,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
442,Poso,ID,87.01,broken clouds,-1.3959,120.7524,Hotel 77 Poso
443,Taltal,CL,64.0,few clouds,-25.4,-70.4833,Residencial Karime
445,Mmathubudukwane,BW,60.8,clear sky,-24.6,26.4333,Gill Sleepover Guesthouse
447,Victoria,HK,73.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
448,Laguna,US,70.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
449,Antofagasta,CL,62.6,broken clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
453,Athabasca,CA,59.0,few clouds,54.7169,-113.2854,Athabasca Lodge Motel
454,Palmer,US,57.2,broken clouds,42.1584,-72.3287,Wedgewood Motel
458,Hambantota,LK,75.2,few clouds,6.1241,81.1185,Bungalow 63
461,Isangel,VU,84.2,few clouds,-19.55,169.2667,Volcano Sea View Tree House
463,Lewistown,US,55.4,few clouds,40.5992,-77.5714,Quality Inn & Suites
465,Loncoche,CL,57.2,light rain,-39.3667,-72.6333,Cabañas JoanJuma
466,Nizhnekamsk,RU,51.8,clear sky,55.6366,51.8245,Hotel 116
469,Diamantino,BR,76.73,overcast clouds,-14.4086,-56.4461,Hotel Delta
470,Kalabo,ZM,63.41,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
471,Quang Ngai,VN,84.78,few clouds,15.1167,108.8,Central Hotel
473,Victor Harbor,AU,66.99,few clouds,-35.5667,138.6167,McCracken Country Club
476,Nouadhibou,MR,66.2,broken clouds,20.930999999999997,-17.0347,El Medina
477,Puerto Ayacucho,VE,72.48,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
478,Dhidhdhoo,MV,83.84,overcast clouds,6.8833,73.1,Dhidhoo beach
479,Capaci,IT,55.99,clear sky,38.1711,13.2393,Hotel Sirenetta
480,Zaranj,AF,68.23,overcast clouds,30.9667,61.8833,غزنوی هوتل
481,San Juan,AR,70.93,clear sky,-31.5375,-68.5364,Hotel Provincial
482,San Luis,AR,62.56,clear sky,-33.295,-66.3356,Huarpes Hotel
483,Roquetas De Mar,ES,57.2,few clouds,36.7642,-2.6148,Hotel Don Ángel
484,Chicama,PE,66.2,few clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
485,Barabai,ID,85.44,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
